Hausa,English
ka,you
ku,to
da,the
kuma,and
cewa,that
shi,it
na,of
ni,me
me,what
shine,is
in,in
wannan,this
sani,know
ina,I'm
domin,for
a'a,no
yi,have
tawa,my
kar a yi,don't
kawai,just
ba,not
yi,do
kasance,be
kan,on
ku,your
ya kasance,was
mu,we
yana da,it's
tare da,with
haka,so
amma,but
duka,all
da kyau,well
su ne,are
shi,he
oh,oh
game da,about
dama,right
ka na,you're
samu,get
fita,out
tafi,going
kamar,like
iya,yeah
ya,ya
idan,if
ita,her
ta,she
iya,can
sama,up
so,want
tunani,think
haka,that's
yanzu,now
tafi,go
shi,him
a,at
yaya,how
samu,got
can,there
daya,one
yi,did
me yasa,why
gani,see
zo,come
mai kyau,good
su,they
gaske,really
kamar yadda,as
za,would
yaushe,when
lokaci,time
so,will
lafiya,okay
baya,back
ba zai iya ba,can't
nufi,mean
gaya,tell
zan,I'll
daga,from
hey,hey
sun kasance,were
shi ne,he's
iya,could
bai yi ba,didn't
iya,yes
nasa,his
kasance,been
wani abu,something
Hukumar Lafiya ta Duniya,who
saboda,because
wasu,some
da,had
sannan,then
ce,say
ko,ok
kuma,also
lafiya,okay
dauka,take
an,an
hanya,way
mu,us
kadan,little
yi,make
bukata,need
za,gonna
taba,never
muna,we're
kuma,too
soyayya,love
tana,she's
Na yi,I've
tabbas,sure
su,them
Kara,more
a kan,over
namu,our
yi hakuri,sorry
ina,where
menene,what's
bari,let
abu,thing
am,am
watakila,maybe
kasa,down
mutum,man
yana da,has
uh,uh
sosai,very
ta,by
akwai,there's
kamata,should
komai,anything
yace,said
da yawa,much
kowane,any
rayuwa,life
ko da,even
kashe,off
Don Allah,please
yi,doing
na gode,thank
bayarwa,give
kawai,only
tunani,thought
taimako,help
biyu,two
magana,talk
mutane,people
allah,god
har yanzu,still
jira,wait
cikin,into
samu,find
babu komai,nothing
sake,again
abubuwa,things
zo mu,let's
ba,doesn't
kira,call
gaya,told
mai girma,great
kafin,before
mafi kyau,better
har abada,ever
dare,night
fiye,than
nesa,away
na farko,first
yi imani,believe
sauran,other
ji,feel
komai,everything
aiki,work
ka yi,you've
lafiya,fine
gida,home
bayan,after
na ƙarshe,last
wadannan,these
rana,day
kiyaye,keep
yayi,does
saka,put
kewaye,around
tsaya,stop
suna,they're
zan,I'd
dogo,long
ba,isn't
kullum,always
saurare,listen
ake so,wanted
Mr,Mr
maza,guys
ehh,huh
wadanda,those
babba,big
yawa,lot
ya faru,happened
godiya,thanks
ba zai,won't
kokarin,trying
irin,kind
ba daidai ba,wrong
ta hanyar,through
magana,talking
sanya,made
sabuwa,new
kasancewa,being
zato,guess
sannu,hi
kula,care
mara kyau,bad
inna,mom
tuna,remember
samun,getting
za mu,we'll
tare,together
baba,dad
barin,leave
uwa,mother
wuri,place
fahimta,understand
ba zai,wouldn't
a zahiri,actually
ji,hear
baby,baby
nice,nice
uba,father
wani,else
zauna,stay
yi,done
ba,wasn't
su,their
hanya,course
mai yiwuwa,might
hankali,mind
kowane,every
isa,enough
gwada,try
jahannama,hell
ya zo,came
wani,someone
za ku,you'll
nasa,own
iyali,family
duka,whole
wani,another
gida,house
ko,or
Gida,House
Jack,Jack
ko,or
jak,jack
kanka,yourself
ra'ayi,idea
tambaya,ask
mafi kyau,best
dole,must
zuwa,coming
tsoho,old
kallo,looking
mace,woman
sannu,hello
wanda,which
shekaru,years
dakin,room
kudi,money
hagu,left
sani,knew
gaske,real
ɗa,son
fata,hope
suna,name
iri daya,same
tafi,went
um,um
hmm,hmm
farin ciki,happy
