Hausa,English
Kamar Yadda,As
Ina,Where
da,and
"cewa,","saying,"
ya,daughter
shi ne,despite
domin,because
a kan,on
suna,name
tare da,with
suna,name
zama,exist
a,in
daya,one
da,and
wannan,this
daga,from
by,by
zafi,heat
kalma,word
amma,but
abin da,what
wasu,others
ne,it is
shi,he
ka,you
ko,or
da,and
daga,from
to,so
da kuma,and also
wani,anybody
a,in
muna,we are
iya,can
out,out
sauran,the rest
suna,name
wanda,that
yi,do
da,and
lokaci,while
idan,if
so,love
yadda,how
ya ce wani,said someone
kowace,each
gaya ya aikata,say he did
sa,ox
uku,three
so,love
air,air
da kyau,nice shot
"har ila yau,",also today
wasa,game
karshen,the end
sa,ox
gida,home
karanta,read
hannu,hand
tashar jiragen ruwa,harbor
babban,big
rubutawa,to write
ko da,even
kasar,the country
nan,here
tilas,must
big,big
high,high
irin,kind of
bin,follow
yi,do
dalilin da ya sa,the reason why
canji,change
tafi,go
haske,light
irin,kind of
kashe,kill
bukata,need
hoto,picture
kokarin,the effort
mu,we
kuma,Same to you
animal,animal
aya,verse
uwar,mother
duniya,world
kusa da,next to
gina kai,build yourself up
duniya,world
uba wani,someone else's father
new,new
aiki,job
kai,you
samu,find
wuri,place
ya yi,he did
rayuwa,life
inda,wherever
bayan,behind
baya,behind
kadan,little
kawai,only
zagaye,round
mutum,man
shekara,year
yin zo,to come
ya zo,he came
kowane,every
mai kyau,decent
ni,me
ba,not
mu,we
karkashin,under
sunan,the name
sosai,very much
ta hanyar,through
kawai,only
form,form
magana,Speaking
mai girma,great
tunani,thought
ka ce,you said
taimaka,help
low,low
line,line
bambanta,distinguish
nuna,show
sabili,because
da yawa,considerably
nufi,purpose
kafin,before
tafi,go
dama,agitate
yaro,child
haihuwa,giving birth
ma,too
haka,so
sai ta,then she
duk,all
akwai,there is
a lokacin da,at that time
up,up
amfani,benefit
hanyar,the way
game da,with respect to
da yawa,considerably
"to,","well,"
da su,with them
rubuta,write
zai,will
kamar,like
don haka,so
wadannan,these
ta,facing
yaushe,when
sa,ox
abu,thing
gani,see
shi,he
biyu,two
yana da,he has
duba,look
more,more
rana,day
iya,can
je,go
zo,come
ya yi,he did
lambar,the number
sauti,sound
babu,without
mafi,more
mutane,people
my,my
a kan,on
sani,know
ruwa,water
fiye da,too
kira,call
na farko,first
wanda,that
may,May
down,down
minti,minute
dubu,thousand
ashirin,twenty
talatin,thirty
casa'in,ninety
arba'in,forty
tamanin,eighty
saba'in,seventy
hamsin,fifty
dutse,mountain
